movie_name,released_Year,runtime,Certificate,rating,vote_count,meta_score,director
Citizen Kane,1941,1h 59m,PG,8.3,476K,100,Orson Welles
Vertigo,1958,2h 8m,PG,8.3,439K,100,Alfred Hitchcock
2001: A Space Odyssey,1968,2h 29m,G,8.3,743K,84,Stanley Kubrick
Tokyo Story,1953,2h 17m,Not Rated,8.1,72K,100,Yasujirô Ozu
The Rules of the Game,1939,1h 50m,Not Rated,7.9,32K,99,Jean Renoir
The Godfather,1972,2h 55m,R,9.2,2.1M,100,Francis Ford Coppola
8½,1963,2h 18m,Not Rated,8.0,128K,93,Federico Fellini
Sunrise,1927,1h 34m,Passed,8.1,55K,95,F.W. Murnau
The Searchers,1956,1h 59m,Approved,7.8,99K,94,John Ford
Seven Samurai,1954,3h 27m,Not Rated,8.6,379K,98,Akira Kurosawa
Singin' in the Rain,1952,1h 43m,G,8.3,269K,99,Stanley Donen
"Jeanne Dielman, 23, quai du commerce, 1080 Bruxelles",1975,3h 22m,Not Rated,7.5,15K,94,Chantal Akerman
Apocalypse Now,1979,2h 27m,R,8.4,732K,94,Francis Ford Coppola
Taxi Driver,1976,1h 54m,R,8.2,959K,94,Martin Scorsese
Bicycle Thieves,1948,1h 29m,Not Rated,8.3,182K,,Vittorio De Sica
Persona,1966,1h 23m,Not Rated,8.0,134K,86,Ingmar Bergman
In the Mood for Love,2000,1h 38m,PG,8.1,173K,87,Wong Kar-Wai
The Passion of Joan of Arc,1928,1h 54m,Passed,8.1,63K,98,Carl Theodor Dreyer
Breathless,1960,1h 30m,Not Rated,7.7,90K,,Jean-Luc Godard
L'Atalante,1934,1h 29m,Not Rated,7.7,18K,,Jean Vigo
Battleship Potemkin,1925,1h 6m,Not Rated,7.9,63K,97,Sergei Eisenstein
Man with a Movie Camera,1929,1h 8m,Not Rated,8.3,29K,96,Dziga Vertov
Mirror,1975,1h 47m,Not Rated,7.9,54K,82,Andrei Tarkovsky
Rashomon,1950,1h 28m,Not Rated,8.2,187K,98,Akira Kurosawa
City Lights,1931,1h 27m,G,8.5,204K,99,Charles Chaplin
The 400 Blows,1959,1h 39m,Not Rated,8.0,130K,,François Truffaut
Andrei Rublev,1966,3h 9m,R,8.0,58K,,Andrei Tarkovsky
Psycho,1960,1h 49m,R,8.5,742K,97,Alfred Hitchcock
Au hasard Balthazar,1966,1h 35m,Not Rated,7.7,24K,98,Robert Bresson
Mulholland Drive,2001,2h 27m,R,7.9,395K,87,David Lynch
The Godfather Part II,1974,3h 22m,R,9.0,1.4M,90,Francis Ford Coppola
Some Like It Hot,1959,2h 1m,Approved,8.2,291K,98,Billy Wilder
Ordet,1955,2h 6m,Not Rated,8.2,18K,,Carl Theodor Dreyer
La Dolce Vita,1960,2h 54m,Not Rated,8.0,81K,95,Federico Fellini
Raging Bull,1980,2h 9m,R,8.1,391K,90,Martin Scorsese
The Night of the Hunter,1955,1h 32m,Approved,8.0,101K,97,Charles Laughton
L'Avventura,1960,2h 24m,Not Rated,7.7,34K,,Michelangelo Antonioni
Casablanca,1942,1h 42m,PG,8.5,623K,100,Michael Curtiz
Rear Window,1954,1h 52m,PG,8.5,539K,100,Alfred Hitchcock
